customer_id,quantity,selling_price,other_discount,coupon_discount,rented,income_bracket,coupon_id,Month,total,age_range_20,age_range_30,age_range_40,age_range_50,age_range_60,age_range_70,marital_status_Married,marital_status_Single,family_size_1,family_size_2,family_size_3,family_size_4,family_size_5,no_of_children_0,no_of_children_1,no_of_children_2,no_of_children_3,brand_type_Established,brand_type_Local,category_Bakery,"category_Dairy, Juices & Snacks",category_Flowers & Plants,category_Garden,category_Grocery,category_Meat,category_Miscellaneous,category_Natural Products,category_Packaged Meat,category_Pharmaceutical,category_Prepared Food,category_Salads,category_Seafood,category_Skin & Hair Care,category_Travel,category_Vegetables (cut),discount,delievry,fashion_cosmetic,grocery,transportation,ott,travel,restaurant,shopping,education,Pharmaceutical,Flowers & Plants,healthcare
1,1854,164326.57,-39861.33,-3365.94,0.0,6680.0,574189,10552,204474.95,0.0,0.0,0.0,0.0,0.0,1670.0,1670.0,0.0,0.0,1670.0,0.0,0.0,0.0,1670.0,0.0,0.0,0.0,1512.0,158.0,0.0,0.0,0.0,0.0,1203.0,6.0,0.0,61.0,242.0,145.0,13.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0
6,1287,116186.15,-15618.67,-863.77,0.0,5405.0,172813,5381,138083.37,0.0,0.0,0.0,1081.0,0.0,0.0,1081.0,0.0,0.0,1081.0,0.0,0.0,0.0,1081.0,0.0,0.0,0.0,762.0,319.0,1.0,0.0,0.0,0.0,560.0,42.0,0.0,74.0,48.0,320.0,0.0,0.0,0.0,36.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,1,0,0
7,2265,189868.16,-38784.5,-1634.9699999999998,0.0,5541.0,367704,11750,240128.66,0.0,1847.0,0.0,0.0,0.0,0.0,0.0,1847.0,0.0,0.0,1847.0,0.0,0.0,0.0,1847.0,0.0,0.0,1505.0,342.0,1.0,1.0,23.0,0.0,1290.0,47.0,0.0,89.0,131.0,245.0,1.0,0.0,12.0,7.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,1,1,0
8,3329,349318.92,-54708.28,-13312.55,0.0,13122.0,436875,13524,589357.21,0.0,2187.0,0.0,0.0,0.0,0.0,0.0,2187.0,0.0,0.0,0.0,2187.0,0.0,0.0,0.0,2187.0,0.0,1594.0,593.0,0.0,3.0,6.0,0.0,1433.0,0.0,0.0,22.0,204.0,481.0,2.0,0.0,16.0,20.0,0.0,0.0,1,1,1,1,1,1,0,1,1,0,1,1,1
10,742,63674.43,-10850.9,0.0,0.0,3480.0,128287,4555,70504.23,0.0,0.0,0.0,696.0,0.0,0.0,0.0,696.0,696.0,0.0,0.0,0.0,0.0,696.0,0.0,0.0,0.0,479.0,217.0,2.0,12.0,0.0,0.0,470.0,47.0,0.0,99.0,58.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0
11,2121,171658.48,-33971.53,-71.24,0.0,1028.0,122106,6020,438031.85,0.0,0.0,0.0,0.0,0.0,1028.0,0.0,1028.0,0.0,1028.0,0.0,0.0,0.0,1028.0,0.0,0.0,0.0,581.0,447.0,0.0,6.0,0.0,0.0,603.0,94.0,0.0,121.0,84.0,71.0,0.0,0.0,49.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1
12,2232,189932.65,-39729.79,-2657.22,0.0,11172.0,438471,9851,304848.7,0.0,0.0,0.0,1596.0,0.0,0.0,1596.0,0.0,0.0,1596.0,0.0,0.0,0.0,1596.0,0.0,0.0,0.0,1307.0,289.0,0.0,38.0,0.0,0.0,1153.0,12.0,0.0,256.0,22.0,50.0,8.0,0.0,57.0,0.0,0.0,0.0,1,1,0,0,1,0,0,1,1,0,0,0,1
13,4176,313641.38,-98653.88,-366.89,0.0,7324.0,820918,20184,382597.04,0.0,0.0,3662.0,0.0,0.0,0.0,0.0,3662.0,3662.0,0.0,0.0,0.0,0.0,3662.0,0.0,0.0,0.0,2572.0,1090.0,3.0,4.0,0.0,0.0,2568.0,161.0,0.0,244.0,557.0,59.0,3.0,12.0,46.0,2.0,3.0,0.0,1,1,0,0,1,0,1,0,1,0,0,0,1
14,3636,270809.11,-43818.94,-1467.47,2544.0,15264.0,531160,15624,404285.97,0.0,2544.0,0.0,0.0,0.0,0.0,2544.0,0.0,0.0,2544.0,0.0,0.0,0.0,2544.0,0.0,0.0,0.0,1360.0,1184.0,0.0,0.0,0.0,0.0,1951.0,205.0,0.0,20.0,315.0,37.0,0.0,0.0,16.0,0.0,0.0,0.0,1,1,0,0,1,1,0,1,1,0,0,0,1
15,1590,151627.27,-24242.11,-2642.98,0.0,7806.0,356860,7291,206679.5,0.0,0.0,0.0,1301.0,0.0,0.0,1301.0,0.0,0.0,1301.0,0.0,0.0,0.0,1301.0,0.0,0.0,0.0,1107.0,194.0,0.0,8.0,0.0,6.0,911.0,95.0,0.0,130.0,78.0,68.0,0.0,0.0,3.0,2.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0
