,name,context,discount,portion
0,KB Pay 챌린지카드,#간편결제 #택시 #편의점 #쇼핑 #배달,KB Pay 3회당,1천점
1,톡톡M 카드,멤버십 100% 할인,멤버십,100%
2,마이핏카드(적립형),#간편결제 #택시 #편의점 #쇼핑 #배달,간편결제,1.5%
3,톡톡O 카드,OTT 100% 할인서비스,OTT플랫폼,100%
4,톡톡D 카드,배달앱 결제시 50% 할인,배달앱,50%
5,Get100카드,가맹점 수수료를 절감해주는 소상공인 전용카드,국내 및 해외 가맹점,0.5%
6,toss KB국민카드,심플하고 쉽게 토스포인트 적립하는 방법!,전월실적 한도없이,1%
7,톡톡F 카드,패션 플랫폼 50% 할인,패션 플랫폼,50%
8,청춘대로 1코노미 카드,"싱글 is 뭔들, 나를 위한 완벽한 추천",편의점/음식/택시,5~20%
9,톡톡 with카드,,스타벅스,50%
10,마이핏카드(할인형),#외식 #편의점 #마트 #주유 #통신 #쇼핑 #배달,외식/커피,5%
11,청춘대로 매니아i카드,청춘 매니아들의 취향저격!,교통/통신,5%
12,Easy on카드,"Food on, Music on, Shopping on 모두 할인 Easy on!",푸드,5%
13,마이핏카드(할인형),#외식 #편의점 #마트 #주유 #통신 #쇼핑 #배달,외식/커피,5%
14,삼성페이 KB국민카드,삼성 페이로 간편하게 할인받는 방법!,삼성 페이 간편결제,10%
15,가온글로벌카드,글로벌한 내 스타일을 담았다!,국내가맹점,0.3%
16,톡톡 Pay카드,똑똑하게 할인 “톡톡”!,간편결제(Pay),20/40%
17,가온 Biz카드,"국내가맹점 기본적립, 사업지원영역 및 고액결제 추가적립!",국내 가맹점,0.3%
18,금융포인트리카드,쓸 때마다 쌓이는 금융포인트로 다양한 종합금융 혜택을!,금융포인트,0.5~5%
19,KB Pay 챌린지+카드,,KB Pay 3회당,1천점
20,wavve 카드,wavve 이용권 결제 할 땐 !,wavve 월 이용권,"7,900원"
21,레고랜드매니아카드,레고에 진심인 분을 위한 혜택에 진심을 담은 카드,레고랜드,30%
22,레고랜드카드,"즐거운 레고랜드에서도, 평범한 일상에서도",레고랜드,10%
23,스카이패스 티타늄 카드,대한항공 마일리지 기본적립에  해외/면세점 추가적립 혜택까지!,국내가맹점 적립,1마일
24,아시아나 올림카드,아시아나 마일리지 적립의 혜택을 올림,국내 이용금액 적립,2마일
25,FINETECH카드(대한항공),"모바일로 누리는 더 좋은 혜택! Fine thanks, 파인테크!",국내이용,1.2마일
26,Easy fly 티타늄카드,"여행은 Happy, 혜택은 Easy! Yes, you can fly!","저비용항공사, 면세점, 호텔/숙박",5%
27,제주항공 Refresh Point KB국민카드,합리적 여행자를 위한 Must Have 카드,RefreshPoint,"1,200원당 10P"
